source,target,weight
Chen SH_2023_EXPERT SYST APPL,Chen SH_2025_J INTELL MANUF,3.0
Chen SH_2025_J INTELL MANUF,Nag S_2022_COMPUT IND,3.0
Boykov Y_2006_INT J COMPUT VISION,NAJMAN L_1994_SIGNAL PROCESS,3.0
Hou XN_2024_IEEE T SEMICONDUCT M,Yu NG_2023_CAAI T INTELL TECHNO,3.0
Brown TB_2020_ADV NEUR IN,Vaswani A_2017_ADV NEUR IN,3.0
Castrejón L_2017_PROC CVPR IEEE,Chan TF_2001_IEEE T IMAGE PROCESS,3.0
Dhariwal P_2021_ADV NEUR IN,Ho Jonathan_2020_ADV NEURAL INFORM PR,3.0
Dosovitskiy A_2021_Arxiv,Mehta S_2022_Arxiv,3.0
COOTES TF_1995_COMPUT VIS IMAGE UND,Chan TF_2001_IEEE T IMAGE PROCESS,3.0
He KM_2016_PROC CVPR IEEE,Howard AG_2017_Arxiv,3.0
He KM_2016_PROC CVPR IEEE,Tan MX_2019_PR MACH LEARN RES,3.0
COOTES TF_1995_COMPUT VIS IMAGE UND,Siméoni O_2021_Arxiv,3.0
Castrejón L_2017_PROC CVPR IEEE,Gunn SR_1997_IEEE T PATTERN ANAL,3.0
He KM_2016_PROC CVPR IEEE,Kong YT_2020_IEEE T SEMICONDUCT M,3.0
He KM_2016_PROC CVPR IEEE,Szegedy C_2015_PROC CVPR IEEE,3.0
He KM_2016_PROC CVPR IEEE,Mehta S_2022_Arxiv,3.0
Boykov Y_2006_INT J COMPUT VISION,Peng SD_2020_PROC CVPR IEEE,3.0
Jiang BT_2022_IEEE T COMPUT AID D,Wang QJ_2022_PROCEEDINGS OF THE 59TH ACM/IEEE DESIGN AUTOMATION CONFERENCE,3.0
Juan Olivier._2006_P CVPR,NAJMAN L_1994_SIGNAL PROCESS,3.0
Juan Olivier._2006_P CVPR,Peng SD_2020_PROC CVPR IEEE,3.0
Juan Olivier._2006_P CVPR,Siméoni O_2021_Arxiv,3.0
Juan Olivier._2006_P CVPR,Yang Y_2022_PROC SPIE,3.0
Kim J_2018_IISE TRANS,Kyeong K_2018_IEEE T SEMICONDUCT M,3.0
