work_id,title,authors,year,journal,doi,doc_type,cited_by_count
WOS:001564077300003,An asymmetric teacher-student network based industrial vision model for abnormal grain detection of semiconductor cooling devices,"Tang, MJ Tu, J Zhou, PY Wong, KKL",2025,PATTERN RECOGNITION LETTERS,10.1016/j.patrec.2025.08.021,Article,1
WOS:001631323000001,DG-ViT: a density-guided dual-stream vision transformer for wafer defect detection,"Xu, RB Xu, ZQ Wang, JX Shen, JN Wen, LJ Xie, Y Yang, Y",2025,MEASUREMENT SCIENCE AND TECHNOLOGY,10.1088/1361-6501/ae234a,Article,0
WOS:001559160300135,MF-VIT: Lithography Hotspot Detection Based on Multi-scale Feature and Vision Transformer,"Huang, Z Li, ZG Zhu, M",2025,"2025 INTERNATIONAL SYMPOSIUM OF ELECTRONICS DESIGN AUTOMATION, ISEDA",10.1109/ISEDA65950.2025.11100544,Proceedings Paper,0
WOS:001596864800022,Enhancing Wafer Probing With SwinProbeFormer: Self-Supervised Anomaly Detection via Window-Based Swin Transformer,"Yoon, H Won, D Kim, S Lee, Y Lee, K Park, K Joo, J Seo, J Ha, Y Kang, M",2025,IEEE ACCESS,10.1109/ACCESS.2025.3611966,Article,0
WOS:001596535300002,A confident learning-based coordinate attention-guided fusion vision transformer for mixed-type wafer map defect detection,"Zhang, XY Liang, XX Li, J Wei, SM",2025,COMPUTERS IN INDUSTRY,10.1016/j.compind.2025.104391,Article,0
WOS:001654113500008,SwinTransILT: a physics-aware Swin Vision transformer for inverse lithographic mask optimization,"Nasir, JA Noureen, S Wahab, A Tauqeer, T Liu, XF Xiong, JC Mehmood, MQ",2025,JOURNAL OF MICRO-NANOPATTERNING MATERIALS AND METROLOGY-JM3,10.1117/1.JMM.24.4.044203,Article,0
WOS:001600047600018,PF2A-ViT: Parameter-Free and Feature-Aware Dynamic Token Pruning Accelerator With Complementary Quantization-Encoding for Vision Transformer,"Zou, ZH Yan, XM Zhang, C Chen, SK Yang, G Yan, H Cai, H Liu, B",2025,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,10.1109/TCAD.2025.3565468,Article,0
WOS:001631886900013,A Real-Time Operator-Centric Patch Extraction and Analysis Platform for Industrial Semiconductor Wafer C&C Processes,"Noh, G",2025,IEEE ACCESS,10.1109/ACCESS.2025.3638806,Article,0
WOS:001652289700001,Deep learning-enabled fault diagnosis with vision transformers and domain-informed data augmentation for advanced quality control in semiconductor manufacturing,"Fu, WH He, YC Liu, XJ Zuo, CY",2026,APPLIED SOFT COMPUTING,10.1016/j.asoc.2025.114480,Article,0
WOS:001552197400033,Semiconductor SEM Image Defect Classification Using Supervised and Semi- Supervised Learning with Vision Transformers (Topic/category: Defect Inspection and Reduction),"Huang, CF Sieg, K Karlinksy, L Flores, N Sheraw, R Zhang, X",2025,"2025 36TH ANNUAL SEMI ADVANCED SEMICONDUCTOR MANUFACTURING CONFERENCE, ASMC",10.1109/ASMC64512.2025.11010396,Proceedings Paper,0
WOS:001558390000001,Improved WTCN-Informer Model Based on Frequency-Enhanced Channel Attention Mechanism and Wavelet Convolution: Prediction of Remaining Service Life of Ion Etcher Cooling System,"Ma, TY Liu, JQ Xu, PF Song, Y Bai, XP",2025,SENSORS,10.3390/s25164883,Article,0
WOS:001582397500001,Long-tailed detection and classification of wafer defects from scanning electron microscope images robust to diverse image backgrounds and defect scales,"Park, T Son, Y Moon, S Han, S Hong, JH",2025,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,10.1016/j.engappai.2025.112342,Article,0
WOS:001514426300068,Die-to-Prompt: Visual language model-based defect inspection and anomaly detection,"Ding, Y",2025,"METROLOGY, INSPECTION, AND PROCESS CONTROL XXXIX",10.1117/12.3052174,Proceedings Paper,0
WOS:001514426300012,GenAI Applications of Vision-Language Models for Semiconductor Defect Classification,"Lin, TH Chen, HJ Wei, YC Yang, SP Lin, YL Sriram, P Liou, GH Huang, YC Chiu, YH Lai, PC Wang, YY Peng, M",2025,"METROLOGY, INSPECTION, AND PROCESS CONTROL XXXIX",10.1117/12.3064772,Proceedings Paper,0
WOS:001559160300130,Unsupervised Defect Detection Based on Self-Supervised Transformers,"Ye, QQ Jiang, H",2025,"2025 INTERNATIONAL SYMPOSIUM OF ELECTRONICS DESIGN AUTOMATION, ISEDA",10.1109/ISEDA65950.2025.11100828,Proceedings Paper,0
